name_first,name_last,c_ID,email_pre,email#,email_post,phone#,Street#,Str_Name,Apt#,City,State,ZIP
Ryan,Nielsen,106644,password1,36,rit.edu,-1752649017,9304,Clark St.,21,Yaphank,Delaware,61510
Felix,Ryan,44233,qedoffifa,50,rit.edu,1803417271,9639,149th St.,62,Mattituck,Maine,63829
Noah,Black,101133,adsdf,72,ymail.com,1362432369,7676,Washington Ave.,45,Copaigue,California,47333
Matt,Harwitt,101371,adsdf,7,rit.edu,-1464521114,9337,Hicksville Road,3,Wyandanch,Louisiana,33126
Isaiah,Passino,75952,password1,99,gmail.com,1757515701,1756,149th St.,29,Northampton,New York,24468
Joel,Ryan,78391,oduderrac,26,yahoo.com,-1487738847,2870,149th St.,69,Ronkonkoma,Virginia,44598
Ricky,Passino,95640,pdefran,86,rit.edu,-1402830610,6242,Harrison St.,51,Northampton,Washington,38158
Allan,Deever,39167,qedoffifa,24,ymail.com,1862875959,2623,Canal St.,48,Massapequa,Maine,32077
Aaron,Nunes,61009,helloWorld,79,gmail.com,-1785009778,745,Jefferson Ave.,30,Massapequa,Texas,24372
Rick,Nilsson,79700,adsdf,86,rit.edu,2040766034,7804,Clark St.,74,Hauppague,Florida,24684
Matt,Nunes,70585,helloWorld,61,gmail.com,1188956052,5300,James Ct.,90,Sagaponack,Virginia,17279
Joel,Harwitt,22408,oduderrac,58,rit.edu,-1496910814,8467,Harrison St.,33,Amagansett,Delaware,77105
Rick,Nielsen,89956,password1,21,rit.edu,1931670684,2983,Joy Ct.,81,Speonk,Washington,75763
Joel,Nielsen,31079,issecosa,23,rit.edu,-1503952642,1385,James Ct.,93,Speonk,Delaware,54073
Joel,White,79676,oduderrac,90,yahoo.com,-2114667398,1484,Hollis Lane,93,Mattituck,Washington D.C.,37991
Allan,Nielsen,101361,xXmetallicaFan1992Xx,64,rit.edu,-1120879796,8245,Canal St.,25,Commack,Georgia,40028
Allan,Barreiros,13592,ehofallat,92,yahoo.com,1573633656,4516,Jefferson Ave.,34,Amagansett,Washington D.C.,40426
Brian,Nelson,46880,helloWorld,12,gmail.com,1591219531,4221,King Dr.,48,Amagansett,West Virginia,65521
Ben,Poulin,36716,ehofallat,35,yahoo.com,1301344105,4341,Armstrong Ave.,7,Commack,Oregon,19113
Noah,Nielsen,88791,ehofallat,9,ymail.com,-1288082354,9893,Joy Ct.,45,Wantaugh,Louisiana,53533
Aaron,Ryan,27966,oduderrac,39,gmail.com,-1094279202,8850,Canal St.,65,Commack,Oregon,78229
Ricky,Bailey,107101,helloWorld,70,gmail.com,-1145888708,2040,Harrison St.,83,Yaphank,Washington D.C.,46098
Allan,Nunes,60424,adsdf,85,ymail.com,1139674112,7813,Hollis Lane,74,Mattituck,Florida,11550
Ben,Barreiros,47268,xXmetallicaFan1992Xx,51,gmail.com,1719967149,9715,Joy Ct.,100,Wantaugh,Virginia,29276
Joel,Nielsen,60068,pdefran,35,ymail.com,-2073314919,9373,149th St.,77,Sagaponack,New Jersey,19122
Josh,Nelson,65021,issecosa,19,gmail.com,-2043918923,8222,King Dr.,76,Hauppague,Georgia,27149
Allan,Ryan,75916,ehofallat,89,rit.edu,-1716761352,8614,King Dr.,73,Copaigue,Maine,55653
Matt,Colliton,95175,adsdf,43,yahoo.com,2041528305,6454,King Dr.,33,Amagansett,New Jersey,56904
Ben,Alexander-Parenteau,109317,ehofallat,96,ymail.com,-2146496867,8751,Hicksville Road,28,Speonk,Georgia,64645
Michael,Ryan,41864,helloWorld,87,ymail.com,1172917802,9247,Jefferson Ave.,17,Massapequa,Louisiana,35973
Joel,Nelson,26572,qedoffifa,48,gmail.com,1543315842,49,King Dr.,95,Ronkonkoma,New York,52826
Michael,Ryan,44217,qedoffifa,26,rit.edu,-1566256028,8865,Canal St.,81,Hauppague,New Jersey,45999
Ryan,Nelson,70215,issecosa,15,rit.edu,-1897140941,7056,Clark St.,24,Wyandanch,West Virginia,34408
Ben,Poulin,63910,ehofallat,93,yahoo.com,-2083726104,6068,Hollis Lane,89,Ronkonkoma,Pennsylvania,52899
Rick,Barzal,11445,oduderrac,50,yahoo.com,-2045950259,6053,Hollis Lane,20,Commack,Oregon,69300
Patrick,Black,20952,qedoffifa,64,rit.edu,1536103785,1772,149th St.,47,Amagansett,Virginia,43514
Aaron,White,32560,helloWorld,40,yahoo.com,-2140636850,5730,Canal St.,16,Wantaugh,Washington,17360
Ryan,White,109384,adsdf,16,gmail.com,-1567227648,4803,Clark St.,23,Wyandanch,Louisiana,66964
Allan,Alexander-Parenteau,81853,ehofallat,39,yahoo.com,-1663060061,9680,Harrison St.,72,Hauppague,New York,32775
Felix,Ryan,42850,issecosa,4,ymail.com,1471253110,7721,Clark St.,13,Yaphank,Washington,44515
Isaiah,Colliton,21951,pdefran,18,ymail.com,1425951229,4986,Canal St.,44,Sagaponack,West Virginia,72267
Matt,Nunes,52511,issecosa,57,gmail.com,-1502106933,7698,Jefferson Ave.,3,Wyandanch,Pennsylvania,38864
Ben,Nunes,64245,helloWorld,77,yahoo.com,1167897651,5622,Joy Ct.,75,Mattituck,Texas,14634
Kevin,Nunes,102960,adsdf,90,rit.edu,1725964719,3929,Hicksville Road,73,Amagansett,Maine,21300
Ben,Black,105374,adsdf,20,rit.edu,1269967866,1109,James Ct.,51,Ronkonkoma,Louisiana,50181
Matt,Deever,20755,issecosa,10,yahoo.com,-2072137697,4975,Joy Ct.,31,Northampton,Delaware,67975
Kevin,Alexander-Parenteau,44076,adsdf,6,ymail.com,-1744157719,6315,149th St.,99,Yaphank,Georgia,29860
Felix,Black,36729,pdefran,70,yahoo.com,-1881700064,8225,Canal St.,88,Wyandanch,New York,30477
Noah,Deever,99158,adsdf,31,yahoo.com,-2024522913,1060,Jefferson Ave.,92,Yaphank,Washington,26409
Josh,Black,49932,adsdf,74,yahoo.com,-1576687347,80,Hollis Lane,38,Massapequa,Washington D.C.,70809
Rick,Alexander-Parenteau,60487,xXmetallicaFan1992Xx,47,yahoo.com,-1315458183,9109,Harrison St.,25,Wyandanch,New York,48352
Ricky,Colliton,21561,ehofallat,42,gmail.com,1697620375,4797,Washington Ave.,70,Commack,Texas,67312
Aaron,Poulin,55341,xXmetallicaFan1992Xx,10,yahoo.com,2044896888,9211,Hollis Lane,20,Wantaugh,Delaware,49141
Brian,Ryan,61938,password1,36,gmail.com,2121043795,202,Joy Ct.,97,Massapequa,Georgia,20178
Isaiah,Poulin,69750,issecosa,61,gmail.com,1396420860,1051,Clark St.,55,Northampton,Maine,77599
Ryan,Barreiros,66689,xXmetallicaFan1992Xx,35,rit.edu,-1249114852,2591,Washington Ave.,37,Northampton,Virginia,66701
Joel,Black,34966,xXmetallicaFan1992Xx,1,gmail.com,1182567347,1999,Jefferson Ave.,77,Speonk,Texas,16742
Aaron,Nelson,78408,helloWorld,97,ymail.com,-1846105499,6563,Joy Ct.,18,Ronkonkoma,Virginia,46401
Patrick,Colliton,79909,issecosa,16,yahoo.com,1836894257,1391,Washington Ave.,63,Wyandanch,Georgia,21292
Rick,Barreiros,107782,pdefran,5,rit.edu,-1816904946,1867,Jefferson Ave.,52,Amagansett,Pennsylvania,64085
Isaiah,Black,33689,adsdf,79,ymail.com,-2038987596,4902,James Ct.,31,Wantaugh,Oregon,59170
Noah,Barreiros,13008,password1,57,ymail.com,1669722643,6931,Canal St.,46,Yaphank,California,61172
Matt,Alexander-Parenteau,55362,issecosa,78,gmail.com,-1669979932,4980,Joy Ct.,17,Amagansett,Louisiana,70538
Brian,Nelson,96903,ehofallat,79,yahoo.com,1711068124,4268,Hicksville Road,56,Ronkonkoma,New Jersey,42542
Joel,White,76559,qedoffifa,3,gmail.com,-1551789947,6473,149th St.,76,Sagaponack,Maine,55269
Ben,Nelson,29712,pdefran,34,gmail.com,-1551126057,102,James Ct.,94,Speonk,Florida,20306
Kevin,Tavares,75606,oduderrac,67,ymail.com,1839628651,335,James Ct.,28,Speonk,New Jersey,57146
Josh,Colliton,97444,oduderrac,11,rit.edu,-1484503460,9355,Hicksville Road,10,Mattituck,Pennsylvania,57970
Isaiah,Nilsson,46230,ehofallat,51,gmail.com,1751265003,2547,Harrison St.,92,Quogue,New York,34275
Aaron,Barzal,29151,ehofallat,89,gmail.com,-1738221891,2406,Joy Ct.,91,Wantaugh,New York,31924
Brian,Barzal,61325,ehofallat,4,rit.edu,-1326074035,4489,Jefferson Ave.,98,Quogue,Georgia,14009
Aaron,Barreiros,37125,helloWorld,72,yahoo.com,-1260779317,2616,Canal St.,58,Speonk,Virginia,35828
Michael,Barreiros,31645,oduderrac,56,rit.edu,-1761042732,1283,Hicksville Road,80,Hauppague,Maine,51901
Michael,Barzal,106275,password1,44,rit.edu,-1147342353,1143,149th St.,95,Hauppague,West Virginia,49201
Joel,Tavares,62363,qedoffifa,44,gmail.com,-1514362882,578,Joy Ct.,75,Wyandanch,New Jersey,69926
Josh,Barreiros,28782,password1,30,yahoo.com,1716780898,3442,Jefferson Ave.,1,Quogue,Oregon,55632
Joel,Nelson,52808,ehofallat,93,yahoo.com,1648513516,2124,Joy Ct.,80,Mattituck,Washington D.C.,44990
Patrick,Alexander-Parenteau,56186,helloWorld,57,rit.edu,-1626695204,9622,Washington Ave.,24,Yaphank,Georgia,43460
Joel,Barreiros,21187,adsdf,87,yahoo.com,-2049020986,601,Joy Ct.,71,Commack,Georgia,51393
Isaiah,Colliton,109310,oduderrac,15,ymail.com,-1673659759,94,Hollis Lane,54,Mattituck,Delaware,68190
Michael,Tavares,28062,helloWorld,42,gmail.com,1926481742,5987,Armstrong Ave.,71,Commack,Delaware,15013
Aaron,Nunes,27343,issecosa,64,yahoo.com,1694004229,1873,James Ct.,76,Massapequa,Maine,60652
Rick,Deever,13108,xXmetallicaFan1992Xx,90,rit.edu,-1069222721,7026,King Dr.,95,Ronkonkoma,Florida,37903
Ricky,Colliton,58905,issecosa,19,rit.edu,1439735515,1133,King Dr.,64,Massapequa,New Jersey,36035
Aaron,Barreiros,98314,qedoffifa,36,yahoo.com,1272913751,7922,Harrison St.,49,Amagansett,Pennsylvania,67773
Matt,Nunes,58689,helloWorld,14,gmail.com,-1975987868,4414,149th St.,95,Commack,New York,51968
Rick,Alexander-Parenteau,18071,adsdf,20,rit.edu,-1082530819,1646,149th St.,100,Speonk,Louisiana,26378
Aaron,Poulin,67171,xXmetallicaFan1992Xx,79,rit.edu,-2028425139,8765,Canal St.,84,Hauppague,Georgia,78627
Aaron,White,24908,helloWorld,44,gmail.com,-1935222121,809,Armstrong Ave.,37,Wantaugh,New York,48631
Joel,Colliton,16883,issecosa,86,ymail.com,-1061787784,2123,Canal St.,26,Commack,West Virginia,61517
Noah,Deever,73206,qedoffifa,93,yahoo.com,-1061400888,908,Hollis Lane,18,Commack,New Jersey,34310
Aaron,Colliton,33952,ehofallat,40,ymail.com,1364024220,4015,Harrison St.,21,Hauppague,Maine,39015
Allan,Alexander-Parenteau,17325,oduderrac,34,ymail.com,1659917793,3503,Washington Ave.,90,Quogue,New York,78665
Michael,Alexander-Parenteau,34342,ehofallat,42,yahoo.com,-1686941711,6903,James Ct.,80,Sagaponack,West Virginia,46557
Josh,Barzal,102056,oduderrac,68,rit.edu,1174296068,9659,149th St.,61,Speonk,Delaware,29230
Aaron,Poulin,100500,helloWorld,14,rit.edu,1814279898,6405,Canal St.,83,Massapequa,Louisiana,17366
Kevin,Passino,79534,oduderrac,34,rit.edu,1622193538,6562,149th St.,69,Sagaponack,Virginia,51440
Michael,Tavares,28078,adsdf,91,rit.edu,-1836050187,190,Armstrong Ave.,74,Hauppague,Georgia,72437
Michael,Colliton,35801,ehofallat,30,ymail.com,1438749106,5440,James Ct.,93,Quogue,New Jersey,28252
Patrick,White,84948,pdefran,44,gmail.com,-1223207979,6985,James Ct.,91,Quogue,Georgia,70260
Isaiah,Harwitt,78282,issecosa,46,rit.edu,-2107108978,2151,Washington Ave.,64,Sagaponack,Oregon,47585
Matt,Alexander-Parenteau,42725,password1,10,yahoo.com,-1719185395,2966,Washington Ave.,44,Commack,Texas,25404
Isaiah,Nielsen,45563,qedoffifa,34,ymail.com,1828156047,804,Washington Ave.,95,Hauppague,Texas,70119
Allan,Alexander-Parenteau,73210,password1,34,rit.edu,1258511884,2629,King Dr.,93,Wantaugh,Virginia,59732
Kevin,Nilsson,79084,adsdf,61,gmail.com,-1397107371,2815,King Dr.,41,Wyandanch,Florida,72718
Patrick,Nunes,88753,pdefran,75,rit.edu,1474728368,7827,Jefferson Ave.,23,Massapequa,Maine,70675
Noah,Nielsen,36049,xXmetallicaFan1992Xx,20,yahoo.com,1761270746,8640,Washington Ave.,97,Massapequa,Washington,37223
Ben,White,38882,pdefran,93,ymail.com,1415929423,8444,James Ct.,84,Hauppague,Oregon,44907
Ricky,Alexander-Parenteau,78866,oduderrac,3,yahoo.com,1955488757,5789,149th St.,94,Wyandanch,Louisiana,27700
Noah,Nielsen,105984,ehofallat,53,yahoo.com,1813301097,806,Jefferson Ave.,7,Speonk,Washington,63798
Isaiah,Harwitt,11157,ehofallat,19,ymail.com,1284134707,1462,Armstrong Ave.,7,Sagaponack,Pennsylvania,60932
Ryan,Black,35698,adsdf,49,rit.edu,-1931846158,4602,149th St.,23,Sagaponack,Washington,65731
Kevin,Alexander-Parenteau,54564,oduderrac,5,ymail.com,-1938213879,5084,149th St.,69,Northampton,Washington D.C.,17584
Michael,Colliton,11139,qedoffifa,52,gmail.com,-1597645145,5788,Joy Ct.,11,Massapequa,Texas,17181
Noah,White,10663,adsdf,86,yahoo.com,-1501666145,2652,King Dr.,57,Amagansett,New York,19628
Noah,Ryan,86373,xXmetallicaFan1992Xx,33,ymail.com,-1065827411,9917,Joy Ct.,91,Ronkonkoma,California,64184
Ben,Deever,45812,oduderrac,1,gmail.com,1834988672,8218,James Ct.,78,Hauppague,Washington D.C.,42450
Brian,Passino,68228,issecosa,71,gmail.com,-1154031071,7694,Harrison St.,68,Mattituck,Delaware,13087
Josh,Nielsen,10116,helloWorld,90,gmail.com,-1175615320,1976,Armstrong Ave.,5,Quogue,Georgia,36340
Brian,Barzal,94188,pdefran,52,yahoo.com,1295311891,8386,James Ct.,40,Copaigue,New York,78435
Kevin,Passino,66293,xXmetallicaFan1992Xx,29,ymail.com,1787849864,1978,Hollis Lane,76,Sagaponack,Oregon,70201
Josh,Nilsson,108668,helloWorld,20,ymail.com,-1630404636,9834,149th St.,11,Yaphank,Oregon,48484
Brian,Passino,82465,oduderrac,23,gmail.com,1168628385,9994,Harrison St.,81,Massapequa,Pennsylvania,34886
Allan,Alexander-Parenteau,48581,adsdf,8,gmail.com,1965285293,6318,James Ct.,96,Yaphank,Louisiana,10864
Rick,Deever,89060,pdefran,17,rit.edu,-1749096280,3411,Harrison St.,41,Wyandanch,New Jersey,53214
Kevin,Nunes,40673,issecosa,49,yahoo.com,-1190615558,9500,149th St.,98,Amagansett,Virginia,69652
Patrick,Tavares,29184,ehofallat,30,gmail.com,-1097992952,3311,Hicksville Road,70,Quogue,Washington,40584
Joel,Bailey,82307,issecosa,67,rit.edu,1741686963,4790,Armstrong Ave.,34,Sagaponack,West Virginia,64014
Noah,Bailey,56137,helloWorld,2,gmail.com,-1462753555,3767,Hicksville Road,37,Ronkonkoma,New York,70893
Allan,Nilsson,73250,qedoffifa,87,yahoo.com,-1901428807,6661,James Ct.,45,Amagansett,California,24705
Patrick,Nunes,106310,oduderrac,40,yahoo.com,1365461508,6000,Canal St.,24,Wantaugh,West Virginia,78301
Isaiah,Nielsen,65259,issecosa,39,rit.edu,-1534350746,8859,James Ct.,92,Wantaugh,Pennsylvania,10786
Noah,Harwitt,66047,password1,70,rit.edu,-2127801284,3288,Clark St.,78,Northampton,California,39262
Joel,Deever,68765,xXmetallicaFan1992Xx,55,rit.edu,1432534437,5832,King Dr.,37,Northampton,Washington D.C.,64527
Felix,Passino,107893,adsdf,1,rit.edu,-2089157107,5171,King Dr.,90,Copaigue,Georgia,70053
Isaiah,Nielsen,106089,qedoffifa,51,ymail.com,1398975501,737,King Dr.,18,Mattituck,Louisiana,49848
Matt,Nielsen,48049,issecosa,26,rit.edu,-1249522489,4030,James Ct.,83,Hauppague,Florida,28210
Aaron,Nilsson,25222,issecosa,18,gmail.com,1156690435,8757,149th St.,71,Massapequa,Oregon,67452
Allan,Nielsen,65770,ehofallat,26,yahoo.com,-2045343062,6615,Jefferson Ave.,66,Wantaugh,Louisiana,30032
Noah,White,75102,ehofallat,56,rit.edu,-1852233335,6511,King Dr.,96,Wantaugh,Louisiana,72712
Ricky,Black,54318,qedoffifa,7,yahoo.com,-1798147685,3653,Jefferson Ave.,3,Speonk,Pennsylvania,23881
Ben,Deever,33966,issecosa,73,rit.edu,1791978491,9292,Armstrong Ave.,41,Hauppague,Oregon,39199
Aaron,Black,79913,xXmetallicaFan1992Xx,92,ymail.com,1623952214,7850,Washington Ave.,58,Massapequa,West Virginia,70719
Matt,Black,69573,oduderrac,62,rit.edu,1361886103,1639,James Ct.,38,Quogue,California,19073
Ricky,Deever,82251,ehofallat,28,rit.edu,1521714517,6632,Hollis Lane,49,Massapequa,Louisiana,73904
Josh,Alexander-Parenteau,92820,password1,68,yahoo.com,-1060856984,2624,Clark St.,91,Hauppague,Maine,64273
Allan,Harwitt,103090,password1,15,gmail.com,-1754122628,6302,Clark St.,94,Mattituck,Washington,34875
Ryan,Nelson,27637,issecosa,43,ymail.com,-1976579678,2015,Armstrong Ave.,54,Amagansett,Louisiana,16324
Josh,Bailey,15834,pdefran,17,ymail.com,-1076272652,2402,Jefferson Ave.,93,Quogue,Texas,75015
Patrick,Barreiros,30855,ehofallat,56,ymail.com,1985062720,2022,James Ct.,91,Speonk,New York,59698
Noah,Ryan,59327,oduderrac,63,yahoo.com,-1628822366,5748,149th St.,62,Ronkonkoma,New York,74207
Kevin,Barzal,57094,ehofallat,74,yahoo.com,1286725443,6513,Armstrong Ave.,54,Wantaugh,Pennsylvania,72944
Ryan,Harwitt,85177,issecosa,54,gmail.com,1865644490,9097,Washington Ave.,50,Mattituck,Georgia,35905
Aaron,Nelson,60233,oduderrac,25,gmail.com,-1307541349,5313,Armstrong Ave.,62,Copaigue,Oregon,39306
Ryan,Ryan,90896,password1,99,ymail.com,1351821218,9354,Hollis Lane,33,Hauppague,Pennsylvania,63984
Joel,White,50361,qedoffifa,18,rit.edu,-1881301162,9760,Hicksville Road,57,Wyandanch,Washington D.C.,36437
Kevin,Nilsson,27576,password1,52,gmail.com,1175598477,3288,Canal St.,36,Speonk,Delaware,24309
Rick,Alexander-Parenteau,59847,pdefran,83,ymail.com,-1573102494,6986,Hollis Lane,27,Copaigue,West Virginia,41278
Ricky,Nielsen,98003,xXmetallicaFan1992Xx,88,rit.edu,2040402962,9347,Jefferson Ave.,60,Speonk,Virginia,72334
Brian,Harwitt,32224,issecosa,38,ymail.com,1856278202,985,Jefferson Ave.,54,Quogue,Washington,43111
Matt,Tavares,60300,oduderrac,81,ymail.com,-1327013494,391,Clark St.,94,Massapequa,Washington,51073
Kevin,Nielsen,14634,pdefran,73,rit.edu,1658002837,4479,Harrison St.,23,Ronkonkoma,Texas,10154
Brian,Nelson,22654,oduderrac,24,yahoo.com,-2063761723,5612,Hollis Lane,60,Hauppague,Washington D.C.,11186
Isaiah,Poulin,64587,ehofallat,37,gmail.com,-1118138204,3953,Washington Ave.,60,Speonk,Maine,71985
Ricky,Alexander-Parenteau,17251,xXmetallicaFan1992Xx,98,yahoo.com,-1087702023,6024,Hicksville Road,72,Amagansett,Washington,23694
Patrick,Nilsson,99368,qedoffifa,23,yahoo.com,1459018296,8500,Canal St.,76,Quogue,Virginia,76993
Aaron,Bailey,80409,adsdf,13,rit.edu,-1693609877,5351,Canal St.,70,Amagansett,Oregon,27751
Ryan,Ryan,50485,helloWorld,90,yahoo.com,1638305441,3259,Washington Ave.,28,Hauppague,New York,74723
Kevin,Colliton,24817,xXmetallicaFan1992Xx,65,rit.edu,1916098155,3150,Harrison St.,51,Sagaponack,New Jersey,52590
Michael,Nunes,48809,xXmetallicaFan1992Xx,81,ymail.com,1727169755,1581,King Dr.,22,Amagansett,Maine,77646
Michael,Barreiros,82470,oduderrac,24,rit.edu,-1323683501,5563,Canal St.,65,Northampton,Virginia,77653
Ben,Poulin,101561,xXmetallicaFan1992Xx,6,gmail.com,-1932827098,8848,Harrison St.,39,Hauppague,Pennsylvania,36474
Rick,Black,57220,password1,89,yahoo.com,-1447256992,4457,King Dr.,97,Commack,Pennsylvania,53042
Ricky,Alexander-Parenteau,75333,xXmetallicaFan1992Xx,25,rit.edu,-1557437243,9958,Joy Ct.,72,Massapequa,Delaware,31845
Michael,Tavares,27516,ehofallat,31,gmail.com,-1898123439,3339,Hicksville Road,16,Amagansett,West Virginia,63816
Kevin,Nilsson,32929,xXmetallicaFan1992Xx,59,rit.edu,-1759259179,9338,King Dr.,67,Hauppague,Washington,42635
Josh,Nelson,33293,pdefran,32,gmail.com,1815277813,4425,Joy Ct.,76,Speonk,Texas,51704
Matt,Colliton,49968,xXmetallicaFan1992Xx,74,rit.edu,1593419452,9516,Jefferson Ave.,67,Mattituck,New Jersey,11068
Allan,Nielsen,62910,pdefran,84,rit.edu,1962942395,4898,Canal St.,7,Northampton,California,14415
Ricky,Deever,100858,qedoffifa,97,ymail.com,1281213519,1806,Harrison St.,3,Yaphank,Washington D.C.,54507
Matt,Harwitt,59463,oduderrac,55,gmail.com,2057532858,3674,James Ct.,95,Quogue,Maine,53090
Josh,Ryan,15675,ehofallat,20,rit.edu,-1619201932,3939,Armstrong Ave.,35,Speonk,Texas,73008
Felix,Nunes,84582,ehofallat,55,ymail.com,-1681203315,5232,Jefferson Ave.,99,Quogue,Washington,18049
Ben,Poulin,19877,password1,85,yahoo.com,2116868784,8489,Washington Ave.,92,Massapequa,Florida,66446
Matt,Colliton,22807,password1,85,rit.edu,1912581282,8327,Hicksville Road,44,Yaphank,Delaware,59586
Noah,Deever,31955,xXmetallicaFan1992Xx,56,gmail.com,1990623378,4675,Hicksville Road,66,Northampton,Pennsylvania,79445
Brian,Nielsen,27771,ehofallat,96,yahoo.com,1148302252,9116,Joy Ct.,41,Northampton,Georgia,69290
Ben,Colliton,63678,xXmetallicaFan1992Xx,5,rit.edu,1282542763,6440,Armstrong Ave.,88,Mattituck,Oregon,78714
Felix,Alexander-Parenteau,84798,issecosa,98,gmail.com,-1942763757,5877,Clark St.,94,Sagaponack,Virginia,45873
Matt,Nelson,24817,password1,75,ymail.com,2021721435,5254,Clark St.,77,Wyandanch,Washington D.C.,59325
Aaron,Nielsen,24964,pdefran,89,yahoo.com,-2076071096,5685,Jefferson Ave.,14,Mattituck,California,65506
